Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,Unnamed: 6,merged_text,tfidf_cluster
splutter,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat,5
deflate,shape change,release trapped air,collapse after rising,remove gas from mixture,deflate whipped egg whites gently,,shape change release trapped air collapse after rising remove gas from mixture,2
stream,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly,5
crimp,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough,5
floured,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour,4
punch,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2
devein,clean fish,remove vein from seafood,clean shrimp vein,extract digestive tract,devein shrimp before cooking,,clean fish remove vein from seafood clean shrimp vein extract digestive tract,3
select,choosing,choose carefully,pick desired items,decide on ingredients,select ripe tomatoes,,choosing choose carefully pick desired items decide on ingredients,5
sterilize,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs,3
overmix,mix more,mix too much,work ingredients excessively,overwork batter or dough,overmixing makes cake tough,,mix more mix too much work ingredients excessively overwork batter or dough,4
invert,flip action,turn upside down,flip container or food,reverse position,invert cake onto plate,,flip action turn upside down flip container or food reverse position,5
pressure,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method,5
thread,string attaching,slide onto skewer,string ingredients together,arrange in a line,thread vegetables onto skewers,,string attaching slide onto skewer string ingredients together arrange in a line,4
scramble,mix eggs,stir while cooking,quickly mix eggs while heating,cook eggs with stirring,scramble eggs in pan,,mix eggs stir while cooking quickly mix eggs while heating cook eggs with stirring,4
knead,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2
steep,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5
absorbed,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5
rise,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2
smoking,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food,5
marinate,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5
frost,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods,5
foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking,2
crockpot,pressure cooking,slow cooker appliance,electric pot for long cooking,low-heat cooking device,stew cooks in crockpot,,pressure cooking slow cooker appliance electric pot for long cooking low-heat cooking device,5
caramelize,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5
refrigerate,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage,5
