Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,Unnamed: 6,merged_text
splutter,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat
deflate,shape change,release trapped air,collapse after rising,remove gas from mixture,deflate whipped egg whites gently,,shape change release trapped air collapse after rising remove gas from mixture
stream,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly
crimp,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough
floured,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour
punch,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough
devein,clean fish,remove vein from seafood,clean shrimp vein,extract digestive tract,devein shrimp before cooking,,clean fish remove vein from seafood clean shrimp vein extract digestive tract
select,choosing,choose carefully,pick desired items,decide on ingredients,select ripe tomatoes,,choosing choose carefully pick desired items decide on ingredients
sterilize,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs
overmix,mix more,mix too much,work ingredients excessively,overwork batter or dough,overmixing makes cake tough,,mix more mix too much work ingredients excessively overwork batter or dough
invert,flip action,turn upside down,flip container or food,reverse position,invert cake onto plate,,flip action turn upside down flip container or food reverse position
pressure,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method
thread,string attaching,slide onto skewer,string ingredients together,arrange in a line,thread vegetables onto skewers,,string attaching slide onto skewer string ingredients together arrange in a line
scramble,mix eggs,stir while cooking,quickly mix eggs while heating,cook eggs with stirring,scramble eggs in pan,,mix eggs stir while cooking quickly mix eggs while heating cook eggs with stirring
knead,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure
steep,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid
absorbed,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains
rise,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger
smoking,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food
marinate,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade
frost,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods
foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking
crockpot,pressure cooking,slow cooker appliance,electric pot for long cooking,low-heat cooking device,stew cooks in crockpot,,pressure cooking slow cooker appliance electric pot for long cooking low-heat cooking device
caramelize,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden
refrigerate,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage
grease,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking
evaporated,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid
overcook,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor
massage,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing
charred,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result
evaporate,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content
condensed,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form
griddle,cooking item,flat cooking surface,metal plate for frying,used for pancakes,bake on a griddle,,cooking item flat cooking surface metal plate for frying used for pancakes
presentation,food decoration,visual arrangement of food,how food is served,plating style,good presentation improves appeal,,food decoration visual arrangement of food how food is served plating style
dredge,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying
barbecue,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method
curdle,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump
dollop,measuring unit,small rounded amount,spoonful portion,soft mound of food,dollop of cream,,measuring unit small rounded amount spoonful portion soft mound of food
scorching,high heat cooking,extremely hot,burning surface heat,risk of burning food,scorching pan heat,,high heat cooking extremely hot burning surface heat risk of burning food
tilt,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow
muddle,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients
deglaze,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings
freezing,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature
parboil,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient
baste,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture
scrub,cleaning,clean by rubbing firmly,wash vegetables thoroughly,remove dirt,scrub potatoes,,cleaning clean by rubbing firmly wash vegetables thoroughly remove dirt
defrost,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state
