word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
splutter,sound,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat,5,sound,0.7972674568707612,splutter,26,-2.8825917,1.8137289
floured,action,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour,4,mixture of flour,0.447213595499958,floured,26,-2.2592204,1.9777819
sterilize,cleaning,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs,3,cleaning,1.0,sterilize,26,-0.72691184,3.3119493
overmix,mixing,mix more,mix too much,work ingredients excessively,overwork batter or dough,overmixing makes cake tough,,mix more mix too much work ingredients excessively overwork batter or dough,4,more cooking,0.6233913715788008,overmix,26,-0.8464604,0.3541165
pressure,shape change,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method,5,shape change,1.0,pressure,26,-3.6342347,2.81668
steep,flavoring,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5,shape change,0.5773502691896257,steep,26,-2.5935743,1.3948756
absorbed,add water,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5,water cooking,0.5454499149998363,absorbed,26,-0.86291516,1.6363615
smoking,flavoring,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food,5,flavoring,1.0,smoking,26,-3.1174426,1.8049475
marinate,flavoring,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5,shape change,0.5773502691896257,marinate,26,-2.7329576,1.2721763
frost,coating,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods,5,sound,0.0,frost,26,-2.0970793,1.7043108
crockpot,pressure cooking,pressure cooking,slow cooker appliance,electric pot for long cooking,low-heat cooking device,stew cooks in crockpot,,pressure cooking slow cooker appliance electric pot for long cooking low-heat cooking device,5,pressure cooking,1.0,crockpot,26,-3.5659323,2.8166802
caramelize,coating,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5,coating,1.0,caramelize,26,-2.2705321,1.21388
grease,coating,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking,5,sound,0.0,grease,26,-2.1189165,1.8231332
evaporated,reduce water,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5,reduce water,1.0,evaporated,26,-0.9719807,2.4113655
overcook,more cooking,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor,5,sound,0.0,overcook,26,-2.2385702,1.5549397
massage,flavoring,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing,2,shape change,0.5773502691896257,massage,26,-3.4231853,1.9019963
charred,more cooking,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result,5,heat plus cool item,0.3873092001071206,charred,26,-3.2421954,1.7136041
evaporate,reduce water,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5,remove unwanted item,0.3586231983895778,evaporate,26,-1.0378141,2.2206433
condensed,reduce water,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5,more cooking,0.3817744687094886,condensed,26,-0.91185695,2.3605852
griddle,utensils,cooking item,flat cooking surface,metal plate for frying,used for pancakes,bake on a griddle,,cooking item flat cooking surface metal plate for frying used for pancakes,5,item,0.7331713064113278,griddle,26,-2.7971644,2.3142078
dredge,coating,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying,4,coating,1.0,dredge,26,-2.2673275,1.8136339
barbecue,more cooking,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method,5,heat plus cool item,0.3087890209920528,barbecue,26,-3.5216124,2.6501093
curdle,forming curd,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3,forming curd,1.0000000000000002,curdle,26,-1.4874029,1.0776247
tilt,action,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow,5,sound,0.0,tilt,26,0.6747741,0.52569187
muddle,mixing,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients,5,mixing,0.7071067811865476,muddle,26,-1.6433799,0.77732396
deglaze,light cooking,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings,5,light cooking,0.4408042661765528,deglaze,26,-1.8046929,1.0911463
