word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
stream,action,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly,5,action,1.0,stream,19,4.934869,4.0880456
pressure,shape change,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method,5,shape change,1.0,pressure,19,2.7260134,3.2957833
knead,shape change,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2,shape change,1.0,knead,19,6.17488,4.193538
massage,flavoring,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing,2,shape change,0.5773502691896257,massage,19,5.5841126,3.4999835
settle,action,action,allow to rest,let ingredients stabilize,pause before next step,let batter settle,,action allow to rest let ingredients stabilize pause before next step,5,action,1.0,settle,19,4.6710334,4.7591248
handle,action,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,5,action,1.0,handle,19,5.72766,3.9030325
shake,action,action,move back and forth,agitate ingredients,mix lightly,shake dressing,,action move back and forth agitate ingredients mix lightly,4,action,1.0,shake,19,4.973788,4.614741
squeeze,action,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,5,action,1.0,squeeze,19,5.0060782,3.6069615
swirl,action,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4,action,1.0,swirl,19,5.1313033,4.6681557
process,shape change,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5,shape change,1.0,process,19,5.2496204,3.7084897
whirl,action,action,spin rapidly,mix in circular motion,blend by spinning,whirl sauce in blender,,action spin rapidly mix in circular motion blend by spinning,4,action,1.0,whirl,19,5.045929,4.3197722
brush,action,action,apply liquid lightly,spread using brush,coat surface,brush oil on bread,,action apply liquid lightly spread using brush coat surface,5,action,1.0,brush,19,5.8582263,2.8572123
smear,action,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5,action,1.0,smear,19,6.012818,2.696997
stand,action,action,allow to rest,let sit without movement,pause process,let dough stand,,action allow to rest let sit without movement pause process,5,action,1.0,stand,19,4.660427,4.783857
drop,action,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,5,action,1.0,drop,19,5.8824778,4.2647576
rub,action,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5,action,1.0,rub,19,5.1845307,3.337472
pat,action,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,5,action,1.0,pat,19,6.785955,3.1144059
press,action,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5,action,1.0,press,19,5.9322324,3.0485897
start,action,action,begin cooking,initiate process,turn on appliance,start oven preheating,,action begin cooking initiate process turn on appliance,5,action,1.0,start,19,4.827042,4.423688
push,action,action,move by applying pressure,press forward,shift ingredient,push dough into pan,,action move by applying pressure press forward shift ingredient,5,action,1.0,push,19,5.018205,3.7421212
sit,action,action,rest without disturbance,allow to stand,pause process,let dough sit for 10 minutes,,action rest without disturbance allow to stand pause process,5,action,1.0,sit,19,4.569778,4.9075556
wait,action,action,pause before next step,allow time to pass,delay action,wait for dough to rise,,action pause before next step allow time to pass delay action,5,action,1.0,wait,19,4.5387754,4.926542
touch,action,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2,action,1.0,touch,19,5.915026,3.611831
toss,action,action,mix lightly by lifting,combine ingredients gently,shake to mix,toss salad,,action mix lightly by lifting combine ingredients gently shake to mix,4,action,1.0,toss,19,5.704765,3.7695127
rest,action,action,let food stand,allow to settle,pause cooking,rest meat after roasting,,action let food stand allow to settle pause cooking,5,action,1.0,rest,19,4.5245175,4.3065953
heat,light cooking,low heating,increase temperature,cook using warmth,apply energy,heat oil before sautéing,,low heating increase temperature cook using warmth apply energy,5,sound,0.0,heat,19,2.862282,3.788208
cook,action,action,prepare food with heat,apply heat to ingredients,transform raw to edible,cook pasta,,action prepare food with heat apply heat to ingredients transform raw to edible,5,action,1.0,cook,19,5.0753465,3.7212815
place,action,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5,action,1.0,place,19,5.319948,4.395564
set,action,action,allow to firm,let rest until stable,fix shape,set jelly in fridge,,action allow to firm let rest until stable fix shape,5,action,1.0,set,19,5.015142,4.7952757
