Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,
splutter,cooking sound,Make popping sounds while cooking,Spit or sputter when heated,Cook noisily due to moisture or fat,Oil splutters when onions are added,
deflate,shape change,Release trapped air,Collapse after rising,Remove gas from mixture,Deflate whipped egg whites gently,
stream,continuous action,Pour in a steady flow,Add liquid continuously,Let liquid run smoothly,Stream oil into dressing,
crimp,shape change slight,Pinch edges together,Seal pastry decoratively,Press to close dough,Crimp pie crust edges,
floured,sprinkling flour,Coated with flour,Dusted to prevent sticking,Lightly covered in flour,Floured surface for rolling dough,
punch,shape change,Press down firmly,Knock air out of dough,Deflate risen dough,Punch down bread dough,
devein,clean fish,Remove vein from seafood,Clean shrimp vein,Extract digestive tract,Devein shrimp before cooking,
select,choosing,Choose carefully,Pick desired items,Decide on ingredients,Select ripe tomatoes,
sterilize,cleaning strong,Destroy bacteria,Clean thoroughly for safety,Make free of germs,Sterilize jars for canning,
overmix,mix more,Mix too much,Work ingredients excessively,Overwork batter or dough,Overmixing makes cake tough,
invert,flip action,Turn upside down,Flip container or food,Reverse position,Invert cake onto plate,
pressure,shape change,Cook using steam pressure,Apply force,Use pressure cooking method,Pressure cook beans,
thread,string attaching,Slide onto skewer,String ingredients together,Arrange in a line,Thread vegetables onto skewers,
scramble,mix eggs,Stir while cooking,Quickly mix eggs while heating,Cook eggs with stirring,Scramble eggs in pan,
knead,shape change,Work dough by hand,Press and fold repeatedly,Develop gluten structure,Knead bread dough,
steep,flavor change,Soak in hot liquid,Extract flavor over time,Infuse liquid,Steep tea or spices,
absorbed,absorb water,Taken in fully,Soaked into food,No liquid remains,Rice has absorbed water,
rise,shape change,Increase in size,Expand due to gas,Dough grows larger,Dough rises before baking,
smoking,flavoring food hot,Giving off smoke,Very hot cooking state,Used for flavoring food,Smoking pan before searing,
marinate,flavor change,Soak in seasoned liquid,Flavor before cooking,Tenderize with marinade,Marinate chicken overnight,
frost,layoring with frost,Cover with icing,Apply frosting,Decorate baked goods,Frost a cake,
foam,form bubble,Mass of bubbles,Light airy texture,Bubbles formed by whisking,Milk foam on coffee,
crockpot,pressure cooking,Slow cooker appliance,Electric pot for long cooking,Low-heat cooking device,Stew cooks in crockpot,
caramelize,brown coating,Brown sugars with heat,Develop sweetness,Cook until golden,Caramelize onions,
refrigerate,shape change,Keep cold for storage,Store in refrigerator,Slow food spoilage,Refrigerate leftovers,
grease,coat with fat,Coat with fat,Apply oil or butter,Prevent sticking,Grease baking pan,
evaporated,reduce water,Reduced by heat,Water removed,Concentrated liquid,Evaporated milk,
overcook,cook extra,Cook too long,Exceed ideal doneness,Ruin texture or flavor,Overcooked pasta,
massage,flavor change,Rub gently by hand,Work ingredients softly,Change texture by rubbing,Massage kale with oil,
charred,burning surface heat,Burned on surface,Blackened by heat,Smoky flavor result,Charred peppers,
evaporate,remove water,Turn liquid to vapor,Remove moisture by heating,Reduce liquid content,Water evaporates from sauce,
condensed,remove water more,Thickened by reduction,Water removed,Concentrated form,Condensed milk,
griddle,cooking item,Flat cooking surface,Metal plate for frying,Used for pancakes,Bake on a griddle,
presentation,food decoration,Visual arrangement of food,How food is served,Plating style,Good presentation improves appeal,
dredge,coating ,Coat lightly with flour,Cover before cooking,Prepare for frying,Dredge fish in flour,
barbecue,open heat cooking,Cook over open flame,Grill or smoke food,Outdoor cooking method,Barbecue ribs,
curdle,forming curd,Separate into lumps,Form curds due to heat or acid,Milk proteins clump,Milk curdles when boiled,
dollop,measuring unit,Small rounded amount,Spoonful portion,Soft mound of food,Dollop of cream,
scorching,high heat cooking,Extremely hot,Burning surface heat,Risk of burning food,Scorching pan heat,
tilt,pan movement,Angle container,Lean pan slightly,Direct liquid flow,Tilt pan to baste steak,
muddle,mixing items,Crush gently,Press to release flavors,Lightly mash ingredients,Muddle mint for drinks,
deglaze,light heat,Loosen browned bits,Dissolve pan residue with liquid,Create sauce from drippings,Deglaze pan with wine,
freezing,cooling item,Preserve by cold,Turn liquid solid,Store at very low temperature,Freezing berries,
parboil,cooking in water,Boil briefly,Partially cook in water,Pre-cook ingredient,Parboil potatoes,
baste,add water,Moisten during cooking,Spoon liquid over food,Add flavor and moisture,Baste roast chicken,
scrub,cleaning ,Clean by rubbing firmly,Wash vegetables thoroughly,Remove dirt,Scrub potatoes,
defrost,remove ice,Remove ice,Thaw frozen food,Return to usable state,Defrost meat safely,
rising,shape change,Dough expansion,Increase in size,Gas causes growth,Dough rising before baking,
preheat,preheat,Heat beforehand,Warm oven before cooking,Prepare correct temperature,Preheat oven to 180°C,
roux,mixture of flour,Fat and flour mixture,Base for thickening sauces,Cooked flour paste,Make roux for gravy,
store,place,Keep for later use,Place in storage,Preserve food properly,Store leftovers,
